target,stage,fold_id,n_train,n_test,n_features,ridge_mae,ridge_rmse,ridge_r2,ridge_spearman,dummy_mae,dummy_rmse,dummy_r2,dummy_spearman,mae_skill_vs_dummy,rmse_skill_vs_dummy
energy_vol,P1,1,2561,640,73,570.6752035484067,775.7411724553583,0.2954483063944082,0.583124978111542,726.3062682316628,924.1884591618334,-6.001293426649568e-07,,0.2142774632279726,0.1606244757060753
energy_vol,P1,2,2561,640,73,628.6875157401767,799.7488615935049,0.2750903708218787,0.516003530274603,744.2668823311271,939.4869891474015,-0.0003642143697777378,,0.1552929054547516,0.14873875760718203
energy_vol,P1,3,2561,640,73,610.621985451944,838.780261417016,0.3074700439550352,0.5602227052514965,767.4495703350152,1013.9491738568832,-0.01198606328771823,,0.20434904252355124,0.17275906619022696
energy_vol,P1,4,2561,640,73,611.5811930743412,826.9570822330799,0.31697226803024936,0.5839522710426203,780.893730369967,1000.615865825421,-1.6497658851699626e-05,,0.21681892261500157,0.17355189890886624
energy_vol,P2,0,2560,641,93,457.2324899656602,681.4395343392115,0.5196452209650171,0.8077532322970421,782.1621517078995,987.099296876901,-0.007927162347904915,,0.4154249359071329,0.3096545236176049
energy_vol,P2,1,2561,640,93,446.613964726051,727.0040212620606,0.38119643810579684,0.8237640808449241,726.3062682316628,924.1884591618334,-6.001293426649568e-07,,0.3850886543862252,0.21335955447723687
energy_vol,P2,2,2561,640,93,457.30177664739523,632.5974102326502,0.5464434670656089,0.7824374876403508,744.2668823311271,939.4869891474015,-0.0003642143697777378,,0.3855674792151508,0.32665655028736285
energy_vol,P2,3,2561,640,93,462.02612077635405,631.389312329412,0.6075931205010254,0.7799762694733142,767.4495703350152,1013.9491738568832,-0.01198606328771823,,0.39797201192690024,0.37729688172857945
energy_vol,P2,4,2561,640,93,477.5534301092113,786.3035663009182,0.38247735796441507,0.7764615514198034,780.893730369967,1000.615865825421,-1.6497658851699626e-05,,0.38845272853841584,0.21418039313989268
energy_vol,P3,0,2560,641,108,415.7210983244378,618.1896738581992,0.6046780246966896,0.8457368925598147,782.1621517078995,987.099296876901,-0.007927162347904915,,0.4684975520527489,0.3737310159027575
energy_vol,P3,1,2561,640,108,392.6535007814773,643.1878876517823,0.5156549190886006,0.8471281210403346,726.3062682316628,924.1884591618334,-6.001293426649568e-07,,0.4593830206952909,0.30405115831558494
energy_vol,P3,2,2561,640,108,404.68916497408674,574.8922894592956,0.6254156961393545,0.8322806574234801,744.2668823311271,939.4869891474015,-0.0003642143697777378,,0.45625799752562546,0.38807849805241157
energy_vol,P3,3,2561,640,108,414.9077558050452,566.5571321500851,0.684041835410256,0.8295093036115813,767.4495703350152,1013.9491738568832,-0.01198606328771823,,0.4593680525172158,0.44123714801699376
energy_vol,P3,4,2561,640,108,430.6727337466947,753.7278702293651,0.4325840446324585,0.8092638775973575,780.893730369967,1000.615865825421,-1.6497658851699626e-05,,0.44848739719980435,0.2467360393015504
max_delta_volume,P1,0,2560,641,73,0.04163363520649643,0.062459173395683645,-0.07442882940102447,0.34476716159354676,0.04403803886198525,0.06049206494952183,-0.007817761141054813,,0.05459833629340738,-0.03251845424359856
max_delta_volume,P1,1,2561,640,73,0.045109631108053376,0.1189107068303526,0.15276270962896377,0.3637813302934175,0.04932299104103804,0.12943451388361407,-0.003837314592801677,,0.08542385293460886,0.08130603451506258
max_delta_volume,P1,2,2561,640,73,0.04184258846192031,0.06399436323387662,0.08941954088900206,0.3920096455049893,0.04555435492637901,0.067074387604817,-0.0003415651597034053,,0.08147994786573842,0.045919530254782126
max_delta_volume,P1,3,2561,640,73,0.043618019417332426,0.07052376804966515,0.07467209173654377,0.30856571439363306,0.04494082911999219,0.07334934829982488,-0.0009610151933421296,,0.02943447480970718,0.03852222706342001
max_delta_volume,P1,4,2561,640,73,0.04528208927007872,0.08670647912316368,-0.5020472630278994,0.3500297523923078,0.04338516975809698,0.07084406695185981,-0.002737981598445627,,-0.04372276339031078,-0.22390600728897647
max_delta_volume,P2,0,2560,641,77,0.04077360284017461,0.06164842695475964,-0.046716781717794476,0.3920597102194083,0.04403803886198525,0.06049206494952183,-0.007817761141054813,,0.07412764296887397,-0.01911592877847279
max_delta_volume,P2,1,2561,640,77,0.04467239245505493,0.11791552271686712,0.16688471513892955,0.3781345256286666,0.04932299104103804,0.12943451388361407,-0.003837314592801677,,0.09428865703042388,0.08899474198284307
max_delta_volume,P2,2,2561,640,77,0.040966530158798406,0.06303704009149215,0.11645940692263756,0.4411050824318046,0.04555435492637901,0.067074387604817,-0.0003415651597034053,,0.10071100282278278,0.06019208907447271
max_delta_volume,P2,3,2561,640,77,0.042970486697886244,0.06987787737450313,0.09154367564567623,0.3472687513236712,0.04494082911999219,0.07334934829982488,-0.0009610151933421296,,0.043843036737153285,0.047327904143492416
max_delta_volume,P2,4,2561,640,77,0.04480663673472146,0.08546995685086692,-0.45951131145890733,0.37597457805891754,0.04338516975809698,0.07084406695185981,-0.002737981598445627,,-0.03276389108421518,-0.20645186715417885
max_delta_volume,P3,0,2560,641,96,0.03952201707073883,0.05814801127423937,0.06877437065388492,0.44704251588131816,0.04403803886198525,0.06049206494952183,-0.007817761141054813,,0.10254820396066189,0.03874977118467482
max_delta_volume,P3,1,2561,640,96,0.043256935449975706,0.11398044737137705,0.22156230903353746,0.46713463961093665,0.04932299104103804,0.12943451388361407,-0.003837314592801677,,0.12298636929814766,0.11939679802972125
max_delta_volume,P3,2,2561,640,96,0.03910696855629503,0.059948119560402885,0.2009278183607608,0.4762995942372907,0.04555435492637901,0.067074387604817,-0.0003415651597034053,,0.14153172359708943,0.10624425058339759
max_delta_volume,P3,3,2561,640,96,0.039934153796648365,0.06338269118376767,0.25257779811799896,0.4748407894062242,0.04494082911999219,0.07334934829982488,-0.0009610151933421296,,0.11140594024146688,0.13587928655231152
max_delta_volume,P3,4,2561,640,96,0.04297355679548011,0.08178581812896203,-0.3364001035552233,0.4508908560567776,0.04338516975809698,0.07084406695185981,-0.002737981598445627,,0.009487411595065942,-0.15444837723019766
stability_charge,P1,0,2560,641,73,0.05144076317170219,0.12714394076788776,-0.001055203887044609,0.36769636268434885,0.05211180590305443,0.12732745177058746,-0.0039470006422734905,,0.012876980939800942,0.0014412524569354934
stability_charge,P1,1,2561,640,73,0.04763983167756518,0.09123730933546251,0.12059807869857353,0.37386973422796427,0.049487537689599105,0.09745579996665374,-0.0033624720712222,,0.03733679423743608,0.06380831754825267
stability_charge,P1,2,2561,640,73,0.05033653002534335,0.1007960334470912,-0.046544300338873246,0.18716270973482754,0.04780579606406845,0.09915437999671207,-0.012732015168312127,,-0.05293780607446119,-0.01655653991718342
stability_charge,P1,3,2561,640,73,0.04729353234298742,0.09347977355717695,0.20714565098004112,0.3570127716966167,0.047681143469505506,0.104984931288726,-2.7737366123936624e-05,,0.008129233032466598,0.1095886580132911
stability_charge,P1,4,2561,640,73,0.051162149549640226,0.11394701217503522,-0.030097625605513656,0.2678136176160452,0.052485064815127394,0.11228718571649025,-0.00030605226885760395,,0.02520555647872369,-0.014781975770020717
stability_charge,P2,0,2560,641,93,0.0506474570011226,0.12559450559964414,0.023194777638869457,0.42218416584175367,0.05211180590305443,0.12732745177058746,-0.0039470006422734905,,0.02810013732120531,0.013610153559545535
stability_charge,P2,1,2561,640,93,0.04510650616034996,0.0826334952821145,0.27863557895281665,0.4572211765422206,0.049487537689599105,0.09745579996665374,-0.0033624720712222,,0.08852797560323789,0.15209258648136859
stability_charge,P2,2,2561,640,93,0.04792000387787617,0.09834706333740255,0.0036922111604915653,0.25705654826037755,0.04780579606406845,0.09915437999671207,-0.012732015168312127,,-0.0023889951263369458,0.008142017118520584
stability_charge,P2,3,2561,640,93,0.0466200653500353,0.09233814767063125,0.22639293763946733,0.3875547979504771,0.047681143469505506,0.104984931288726,-2.7737366123936624e-05,,0.022253621500264886,0.1204628460756334
stability_charge,P2,4,2561,640,93,0.05060626216381513,0.10405838595590508,0.14093371936806054,0.3189597363614658,0.052485064815127394,0.11228718571649025,-0.00030605226885760395,,0.03579690065983787,0.07328351590680848
stability_charge,P3,0,2560,641,105,0.052414038387076305,0.111070730231704,0.23604822241713708,0.40476432380607663,0.05211180590305443,0.12732745177058746,-0.0039470006422734905,,-0.005799693155599472,0.12767648541474041
stability_charge,P3,1,2561,640,105,0.04559571091185864,0.07687959163029914,0.3755975369904231,0.5069168918722227,0.049487537689599105,0.09745579996665374,-0.0033624720712222,,0.07864256254071855,0.2111337482571085
stability_charge,P3,2,2561,640,105,0.05064683610648851,0.09137843070199485,0.13988182727692222,0.35940304001030365,0.04780579606406845,0.09915437999671207,-0.012732015168312127,,-0.05942877802123725,0.07842265056747943
stability_charge,P3,3,2561,640,105,0.044185888592041325,0.07648709664068475,0.4691956647558564,0.46204088050992465,0.047681143469505506,0.104984931288726,-2.7737366123936624e-05,,0.07330476207433179,0.27144690479119793
stability_charge,P3,4,2561,640,105,0.05043133376326927,0.09783806417583084,0.24056920380198088,0.46801200969491913,0.052485064815127394,0.11228718571649025,-0.00030605226885760395,,0.03912981834150642,0.1286800577328696
stability_discharge,P1,0,2560,641,73,0.03990588412177525,0.10175370160458537,0.031515939382099845,0.3839964488944851,0.044208347249858025,0.1034923785379865,-0.0018640202818986928,,0.0973224152390495,0.016800048061152206
stability_discharge,P1,1,2561,640,73,0.035304222123212055,0.06578028417640792,0.13914688113230922,0.2792282911407402,0.039073442317705466,0.07089899678153032,-4.086371023270807e-05,,0.0964650148775209,0.07219725013733702
stability_discharge,P1,2,2561,640,73,0.03977709000558745,0.08329382905601784,-0.04783433010586147,0.38415100456493523,0.035849907498893226,0.08139592147322822,-0.0006270910483874292,,-0.1095451224474,-0.02331698626219092
stability_discharge,P1,3,2561,640,73,0.035903127734826,0.06756741782366898,-0.005617612938188188,0.311618142245128,0.03712786099604226,0.06742740153393638,-0.0014541577540747586,,0.03298690601504939,-0.0020765487998546384
stability_discharge,P1,4,2561,640,73,0.03600016772293809,0.0808574783358299,0.0652502363558014,0.36669219913317946,0.03999730768621936,0.08363260041492752,-1.4228170786889649e-05,,0.09993522550665179,0.03318230050637394
stability_discharge,P2,0,2560,641,93,0.03891396669949615,0.1011896367030786,0.042223632613518025,0.4382434436938145,0.044208347249858025,0.1034923785379865,-0.0018640202818986928,,0.11975974854791427,0.022250351836900606
stability_discharge,P2,1,2561,640,93,0.034567515452572736,0.06492450939462857,0.16139988106040293,0.3347846811188172,0.039073442317705466,0.07089899678153032,-4.086371023270807e-05,,0.11531942408593332,0.08426758710439386
stability_discharge,P2,2,2561,640,93,0.039973039369775774,0.08373284175569236,-0.05890897671931539,0.4174149078113954,0.035849907498893226,0.08139592147322822,-0.0006270910483874292,,-0.11501094866171813,-0.028710532913283293
stability_discharge,P2,3,2561,640,93,0.035145560536651785,0.06656934061092012,0.023872074817789413,0.35803254060910694,0.03712786099604226,0.06742740153393638,-0.0014541577540747586,,0.053391184038363626,0.012725700583083976
stability_discharge,P2,4,2561,640,93,0.035984776015333154,0.0794594636084686,0.09729419366287184,0.36177956752550455,0.03999730768621936,0.08363260041492752,-1.4228170786889649e-05,,0.10032004409808515,0.0498984461293166
stability_discharge,P3,0,2560,641,105,0.03797542003272155,0.08917547389723275,0.2561542339003253,0.5603768601547264,0.044208347249858025,0.1034923785379865,-0.0018640202818986928,,0.1409898266928875,0.13833776789175622
stability_discharge,P3,1,2561,640,105,0.0357248226921341,0.0610586940479238,0.2582926394048861,0.47314658892834116,0.039073442317705466,0.07089899678153032,-4.086371023270807e-05,,0.08570065566130047,0.1387932577371812
stability_discharge,P3,2,2561,640,105,0.04064387321915432,0.07503712773070365,0.14960759627367803,0.4776653052396444,0.035849907498893226,0.08139592147322822,-0.0006270910483874292,,-0.13372323820944576,0.07812177351682215
