material_id,linked_summary_has_structure,structure_nsites_if_parseable,structure_formula_if_available
mp-aaaabmla,True,30,
mp-aaaabmld,True,72,
mp-aaaabmlf,True,72,
mp-aaaabmlj,True,144,
mp-aaaabmll,True,72,
mp-aaaabmln,True,72,
mp-aaaabmlo,True,68,
mp-aaaabmlr,True,46,
mp-aaaabmls,True,42,
mp-aaaabmlt,True,80,
mp-aaaabmlv,True,60,
mp-aaaabmlw,True,56,
mp-aaaabmmb,True,56,
mp-aaaabmmc,True,52,
mp-aaaabmmd,True,56,
mp-aaaabmmf,True,76,
mp-aaaabmmh,True,22,
mp-aaaabmmi,True,20,
mp-aaaabmmj,True,64,
mp-aaaabmmn,True,36,
mp-aaaabmmp,True,56,
mp-aaaabmmr,True,28,
mp-aaaabmmt,True,56,
mp-aaaabmmv,True,42,
mp-aaaabmmz,True,48,
mp-aaaabmnb,True,56,
mp-aaaabmnj,True,98,
mp-aaaabmnn,True,80,
mp-aaaabmno,True,72,
mp-aaaabmnp,True,28,
mp-aaaabmnt,True,80,
mp-aaaabmnu,True,72,
mp-aaaabmnw,True,34,
mp-aaaabmnx,True,36,
mp-aaaabmnz,True,61,
mp-aaaabmoc,True,36,
mp-aaaabmoe,True,56,
mp-aaaabmof,True,28,
mp-aaaabmoi,True,69,
mp-aaaabmoj,True,36,
mp-aaaabmok,True,34,
mp-aaaabmol,True,56,
mp-aaaabmon,True,80,
mp-aaaabmoo,True,76,
mp-aaaabmor,True,80,
mp-aaaabmos,True,72,
mp-aaaabmot,True,42,
mp-aaaabmow,True,34,
mp-aaaabmoz,True,78,
mp-aaaabmpb,True,80,
mp-aaaabmpc,True,72,
mp-aaaabmpd,True,60,
mp-aaaabmpf,True,46,
mp-aaaabmph,True,80,
mp-aaaabmpi,True,72,
mp-aaaabmpj,True,80,
mp-aaaabmpk,True,72,
mp-aaaabmpl,True,48,
mp-aaaabmpn,True,32,
mp-aaaabmpp,True,28,
mp-aaaabmpr,True,76,
mp-aaaabmpw,True,68,
mp-aaaabmpx,True,78,
mp-aaaabmpz,True,36,
mp-aaaabmqa,True,34,
mp-aaaabmqb,True,80,
mp-aaaabmqg,True,24,
mp-aaaabmqh,True,56,
