shortlist_priority_rank,battery_formula,formula_charge,formula_discharge,average_voltage,capacity_grav,energy_grav,max_delta_volume,stability_worst,final_triage_score,rank_median_mc,rank_iqr_mc,out_of_domain_flag,high_uncertainty_flag
115,Na0-1Fe(PO3)3,Fe(PO3)3,NaFe(PO3)3,3.273735689051709,84.88179104995677,277.8805487108734,0.081538243017999,0.015117229102563,0.3614825816750412,118.5,38.0,False,False
116,Na4-6V2P(CO4)4,Na4V2P(CO4)4,Na6V2P(CO4)4,3.034058029051725,93.25034344511644,282.9269532414864,0.005278998121273,0.081031801959889,0.357118531088075,121.0,41.25,False,False
117,Na4-6Cr2P(CO4)4,Na4Cr2P(CO4)4,Na6Cr2P(CO4)4,2.998660504051716,92.9094338496565,278.6038497387706,0.021816126497108,0.063655591954731,0.3544650737714641,122.0,39.0,False,False
118,Na2-3CuAsCO7,Na2CuAsCO7,Na3CuAsCO7,3.3144571365517272,80.8629181072805,268.01667600307377,0.014917513048771,0.009780300000002,0.3463003081808675,123.0,35.0,False,False
119,Na2-2.5MnPCO7,Na2MnPCO7,Na5Mn2P2(CO7)2,3.155611796551742,50.116323516569366,158.1476616886898,0.01297905857535,0.009036275000001,0.3536133589055784,123.0,44.25,False,False
120,Na1-2BiPCO7,NaBiPCO7,Na2BiPCO7,4.461097456551716,65.37900188552294,291.66209902339625,0.033568701024982,0.069386899545459,0.3493482609451633,124.0,33.0,False,False
121,Na4-6Mn2As(CO4)4,Na4Mn2As(CO4)4,Na6Mn2As(CO4)4,3.933984291551727,85.52260728219764,336.4445936207129,0.022071970096255,0.093927724608407,0.3449038725288311,122.0,39.25,False,False
123,Na0-1V2O5,V2O5,NaV2O5,2.995272471551725,130.82203996985868,391.8476549939573,0.0476625704965,0.049967163125,0.3436927650736397,124.0,40.0,False,False
124,Na4-5NiO4,Na4NiO4,Na5NiO4,2.723290241551726,112.781932623585,307.1379365371534,0.046715089045179,0.098722963634259,0.3415464694683405,128.0,40.25,False,False
125,Na2-3MnBAsO7,Na2MnBAsO7,Na3MnBAsO7,3.503137209051718,83.3286750888558,291.9117822847518,0.026737093069887,0.055802305694511,0.3456311327713673,128.5,39.0,False,False
126,Na1-2NdPCO7,NaNdPCO7,Na2NdPCO7,4.186945046551717,77.64003867269946,325.07457533474275,0.047037429772558,0.095124963181815,0.3344565054180877,130.5,42.25,False,False
129,Na2-3VBPO7,Na2VBPO7,Na3VBPO7,2.967536531551719,97.92592715302656,290.59876621267875,0.030335772820358,0.085130277202384,0.3331092162182828,132.0,44.25,False,False
131,Na1-2V3P2O13,NaV3P2O13,Na2V3P2O13,3.6936536090517262,57.17725394145005,211.192970376504,0.033418554319772,0.0,0.3352546704157488,133.0,45.25,False,False
133,Na1-2VCSO7,NaVCSO7,Na2VCSO7,2.888922099051729,105.93783238792088,306.0461451111027,0.010953070322631,0.08290958784091,0.3332985666687113,133.0,43.0,False,False
134,Na2-3CoSiCO7,Na2CoSiCO7,Na3CoSiCO7,3.220914926551717,95.72145479112967,308.31066252799496,0.03515954267775,0.073240028217592,0.327627675398309,133.5,38.25,False,False
135,Na0-1Mn(GeO3)2,Mn(GeO3)2,NaMn(GeO3)2,3.954146031551719,83.96343139083412,332.0036690295318,0.084264456293662,0.083475350648149,0.3285253102149825,136.0,42.0,False,False
136,Na0-1Cs2NiF6,Cs2NiF6,Cs2NaNiF6,4.227831216551717,58.07666691669115,245.5383453436632,0.095016872957406,0.028489873999999,0.3328810826383748,134.5,37.25,False,False
138,Na0-1Mo2P3O13,Mo2P3O13,NaMo2P3O13,3.877630971551728,51.96268174858514,201.49210411319945,0.011378340836238,0.012988344861112,0.3292713992114329,137.0,39.0,False,False
139,Na1-3GePCO7,NaGePCO7,Na3GePCO7,2.132724569051728,180.73111040163943,385.4496795455767,0.156629523233187,0.070349762690525,0.3276772786844102,138.5,41.0,False,False
141,Na2-3CuBSO7,Na2CuBSO7,Na3CuBSO7,3.032991951551726,93.25916303902316,282.85429090580743,0.003459685322988,0.08911558653846,0.3277790596454829,140.0,41.0,False,False
142,Na4-6Cr2As(CO4)4,Na4Cr2As(CO4)4,Na6Cr2As(CO4)4,3.036276904051721,86.33307156266021,262.13111124154966,0.020452863259504,0.08492972130658,0.3156763069096399,145.0,39.25,False,False
143,Na2-3MnBSO7,Na2MnBSO7,Na3MnBSO7,2.614881566551734,96.13875669084229,251.39146270208565,0.003142155096983,0.093666022811982,0.3191796751571897,143.0,42.0,False,False
