target,protocol,split_name,n_predictions,spearman_abs_error_vs_tree_std,spearman_abs_error_vs_knn_distance,spearman_abs_error_vs_domain_percentile,mean_tree_pred_std,median_tree_pred_std,median_domain_distance_percentile
stability_worst,P2,framework_groupkfold,3201,0.3761980187978142,0.18720273512088592,0.18862416025637768,0.07268950517093278,0.0496154795117216,56.93359375
stability_worst,P2,leave_chemical_system_out,2038,0.2539491377210776,0.1677294286203644,0.16656535487943425,0.06573407843116381,0.05070772415467385,68.54271135743821
stability_worst,P2,leave_family_out,3201,0.3085355019861521,0.2703750912355891,0.2780291864546937,0.09462289668883286,0.0735168938990252,95.88045234248789
stability_worst,P2,leave_working_ion_out,3201,0.31430162728776395,0.14292057353875673,0.16162716901410798,0.0876506374339239,0.0779225719828275,79.72350230414746
stability_worst,P2,random_split,3205,0.40824731553966837,0.2324848902750716,0.23191906335510165,0.06939942414231265,0.0463548482555768,49.365234375
stability_worst,P3,framework_groupkfold,3201,0.32552135256081166,0.24307119108137076,0.2432153704926254,0.07229625217987709,0.0511868530957927,55.859375
stability_worst,P3,leave_chemical_system_out,2038,0.23577437841555088,0.18085040244359815,0.17850545761216666,0.06795415416845309,0.051306137832871954,64.52564430221274
stability_worst,P3,leave_family_out,3201,0.3500098195276265,0.23927357850090178,0.24160792855180083,0.11053768944511723,0.0877258351366201,96.08239095315024
stability_worst,P3,leave_working_ion_out,3201,0.3474521525323618,0.1731560281560201,0.19804930287261346,0.08503104953611713,0.0738096698907711,77.18894009216591
stability_worst,P3,random_split,3205,0.41718749902610247,0.31643486726803216,0.31592381362732996,0.06997900848675781,0.0468061017288099,48.876953125
