protocol,split_name,fold_id,heldout_group,status,error,n_train,n_test,n_features,elapsed_seconds,timestamp_utc,imputer_fit_scope,x_scaler_fit_scope,y_scaler_fit_scope,outer_test_used_for_fit_or_early_stopping,pass
P1,leave_chemical_system_out,72,S-V,OK,,3194,7,73,12.75008773803711,2026-07-11T16:46:14.570498+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,73,Co-O-Ti,OK,,3194,7,73,12.405746936798096,2026-07-11T16:46:26.976245+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_chemical_system_out,74,Mo-Se,OK,,3194,7,73,7.174958944320679,2026-07-11T16:46:34.166828+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_working_ion_out,0,Li,OK,,543,2658,73,2.622159004211426,2026-07-11T16:46:36.804611+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_working_ion_out,1,Na,OK,,2807,394,73,9.511531114578249,2026-07-11T16:46:46.324652+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P1,leave_working_ion_out,2,K,OK,,3052,149,73,9.044504165649414,2026-07-11T16:46:55.369156+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P2,random_split,0,random_0,OK,,2560,641,77,8.648684024810791,2026-07-11T16:47:04.017840+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P2,random_split,1,random_1,OK,,2560,641,77,11.485044479370115,2026-07-11T16:47:15.518510+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P2,random_split,2,random_2,OK,,2560,641,77,6.6347973346710205,2026-07-11T16:47:22.153308+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
P2,random_split,3,random_3,OK,,2560,641,77,10.516318559646606,2026-07-11T16:47:32.669626+00:00,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,inner_fit_subset_of_outer_train_only,False,True
