target,protocol,split_name,ad_flag,n_predictions,mae,median_absolute_error,rmse,median_tree_pred_std,median_knn_distance,conformal_coverage
energy_grav,P2,leave_working_ion_out,borderline,406,131.46737782775384,105.90482999726132,182.24353341291877,184.46252277612962,9.207951536330471,0.9384236453201971
energy_grav,P2,leave_working_ion_out,in_domain,2631,158.90512769541613,121.52248609246315,212.58559966538385,201.5204190900673,6.042828679046418,0.9038388445458001
energy_grav,P2,leave_working_ion_out,out_of_domain,164,139.60251715940842,87.03674155600926,213.92974853795985,194.01585526457802,13.070807177302882,0.8902439024390244
energy_grav,P2,random_split,borderline,180,108.49081988168469,72.83271436400085,161.67805593984005,159.00004763082063,8.053923664777624,0.9333333333333333
energy_grav,P2,random_split,in_domain,2916,97.27558154674067,70.57997676283762,138.00154043213,167.05999229839497,2.8490309330140864,0.958161865569273
energy_grav,P2,random_split,out_of_domain,109,129.98243693806097,83.68262364885553,202.23089104044223,161.7182233787474,13.857549337298792,0.908256880733945
energy_grav,P3,framework_groupkfold,borderline,238,118.97694648530583,78.60227164182686,175.55608424061157,195.1692271659037,9.430216806624724,0.9159663865546218
energy_grav,P3,framework_groupkfold,in_domain,2872,102.23675042262487,80.41023153546001,139.3855549735978,176.01423268944075,4.34255253668836,0.9481197771587744
energy_grav,P3,framework_groupkfold,out_of_domain,91,134.7800903984554,90.6211001493931,187.02053884841678,199.5701332824858,16.126408964236266,0.8681318681318682
energy_grav,P3,leave_chemical_system_out,borderline,114,167.96622948370214,115.53298567955595,244.28930270900037,268.800915559493,9.012832246045647,0.8333333333333334
energy_grav,P3,leave_chemical_system_out,in_domain,1908,113.92819548310116,91.4523762514903,154.18359925853085,191.09462944772787,4.743304525803296,0.9350104821802935
energy_grav,P3,leave_chemical_system_out,out_of_domain,16,266.4569997071528,243.77166598657257,311.3620051786224,290.5055100982539,13.033507536855035,0.625
energy_grav,P3,leave_family_out,borderline,492,169.3517206326974,118.51037497534563,248.08812941077161,211.12983436216206,9.573084581898682,0.823170731707317
energy_grav,P3,leave_family_out,in_domain,1211,159.10975359990812,128.26064694892773,203.4937612795485,226.89265497770012,6.4266426492936,0.7952105697770437
energy_grav,P3,leave_family_out,out_of_domain,1498,126.12346143213651,99.135106207978,167.69104997717383,193.1898309481757,15.459486623299224,0.890520694259012
energy_grav,P3,leave_working_ion_out,borderline,384,146.91494952637254,104.06528603704055,212.24474178940486,192.64525333114258,10.364768576377346,0.9114583333333334
energy_grav,P3,leave_working_ion_out,in_domain,2662,157.5619586020584,121.29823526051456,209.08580939611446,191.16366192566215,6.983459415834346,0.9207362885048835
