target,protocol,split_name,bin_type,bin,n_predictions,mae,median_absolute_error,rmse,mean_tree_pred_std,median_knn_distance,conformal_coverage,median_conformal_width
stability_worst,P1,leave_chemical_system_out,tree_uncertainty_bin,Q1_lowest,408,0.026823623301150318,0.0217205052212244,0.03552023304797991,0.026666677853735922,1.9697147208280028,0.9975490196078431,0.3102106871362505
stability_worst,P1,leave_chemical_system_out,tree_uncertainty_bin,Q2,407,0.036435412456925054,0.0224703498756463,0.06814406183430402,0.036364415556479734,2.685272748842386,0.9705159705159705,0.2687727402208379
stability_worst,P1,leave_chemical_system_out,tree_uncertainty_bin,Q3,409,0.0322076446207429,0.0239302673409482,0.049077110114642275,0.04642030237054029,2.9077004972085128,0.980440097799511,0.2686572360152559
stability_worst,P1,leave_chemical_system_out,tree_uncertainty_bin,Q4,407,0.042397777749377925,0.033945031153969,0.06272239963569971,0.0581746060149377,3.2447979401930667,0.9656019656019657,0.2686572360152559
stability_worst,P1,leave_chemical_system_out,tree_uncertainty_bin,Q5_highest,407,0.06811766384732576,0.0408286010114151,0.16722243151586522,0.09982393048214648,3.809614202841563,0.9434889434889435,0.2676409280885868
stability_worst,P1,leave_chemical_system_out,domain_distance_bin,Q1_nearest,408,0.02536249069129804,0.02053623060408525,0.034594549068898264,0.03163558183583319,1.7873837833827497,0.9926470588235294,0.2944191621062567
stability_worst,P1,leave_chemical_system_out,domain_distance_bin,Q2,410,0.03693224761536769,0.02916042347471855,0.06770927395545366,0.04544288245774785,2.421804529897745,0.9853658536585366,0.2687727402208379
stability_worst,P1,leave_chemical_system_out,domain_distance_bin,Q3,420,0.03770862690060233,0.028328577562944303,0.052066401637537174,0.04563582836672949,2.909131596902085,0.9785714285714285,0.2734399513950016
stability_worst,P1,leave_chemical_system_out,domain_distance_bin,Q4,395,0.05033083938854903,0.0303550164410917,0.12645948812212474,0.07044577081969204,3.531720628267249,0.9544303797468354,0.2616179713850342
stability_worst,P1,leave_chemical_system_out,domain_distance_bin,Q5_farthest,405,0.056092691297530556,0.0340404848829699,0.12715990912414776,0.07515951391401096,4.548470357169668,0.945679012345679,0.2821445976416432
stability_worst,P1,leave_family_out,tree_uncertainty_bin,Q1_lowest,641,0.035931110523545015,0.0252962455946611,0.06166925152646674,0.03672443677650058,11.525902822436269,0.9890795631825273,0.3638319402330957
stability_worst,P1,leave_family_out,tree_uncertainty_bin,Q2,647,0.04085769422745478,0.0295180205296272,0.06100543077764795,0.054779190209771046,7.987710265021174,0.9690880989180835,0.278141031682192
stability_worst,P1,leave_family_out,tree_uncertainty_bin,Q3,633,0.03918901457346663,0.0256499198786543,0.10849789050130333,0.06845195640085007,5.13185460960629,0.9747235387045814,0.2475350346653357
stability_worst,P1,leave_family_out,tree_uncertainty_bin,Q4,640,0.05835296493363331,0.035055425115862696,0.1366549047279863,0.08416545940336825,6.088138859393729,0.9546875,0.2475350346653357
