target,model_name,split_name,leaky_protocol,clean_protocol,effect_metric,n_paired_folds,mean_effect,median_effect,sd_effect,positive_effect_fraction
average_voltage,ExtraTrees,leave_working_ion_out,P4,P2,r2_leaky_minus_clean,3,0.3919273019960811,0.3475933429315806,0.1359629744160571,1.0
average_voltage,ExtraTrees,leave_working_ion_out,P4,P2,spearman_leaky_minus_clean,3,0.2300196225501159,0.17461273353890805,0.12663481693236983,1.0
average_voltage,ExtraTrees,leave_working_ion_out,P4,P3,mae_clean_minus_leaky,3,0.4605747748285333,0.43037130166640297,0.06116378428573116,1.0
average_voltage,ExtraTrees,leave_working_ion_out,P4,P3,rmse_clean_minus_leaky,3,0.5794272132117829,0.5494047677843604,0.06534814364175807,1.0
average_voltage,ExtraTrees,leave_working_ion_out,P4,P3,r2_leaky_minus_clean,3,0.2679547466098642,0.23356648099047927,0.12088119580227008,1.0
average_voltage,ExtraTrees,leave_working_ion_out,P4,P3,spearman_leaky_minus_clean,3,0.1306153794825047,0.08350045346346524,0.09529950290532818,1.0
average_voltage,ExtraTrees,random_split,P0,P1,mae_clean_minus_leaky,5,0.32265722968482036,0.31628075454173454,0.02222772848646108,1.0
average_voltage,ExtraTrees,random_split,P0,P1,rmse_clean_minus_leaky,5,0.436581094387099,0.4196050889178262,0.032794122165638935,1.0
average_voltage,ExtraTrees,random_split,P0,P1,r2_leaky_minus_clean,5,0.32177506862126126,0.29831841075099963,0.03874791289130906,1.0
average_voltage,ExtraTrees,random_split,P0,P1,spearman_leaky_minus_clean,5,0.19613185956185802,0.19939553199120752,0.011194054308985004,1.0
average_voltage,ExtraTrees,random_split,P0,P2,mae_clean_minus_leaky,5,0.2722956637375596,0.27462270972449965,0.017495328289685853,1.0
average_voltage,ExtraTrees,random_split,P0,P2,rmse_clean_minus_leaky,5,0.3661585441581191,0.36710344289712205,0.01857792673728151,1.0
average_voltage,ExtraTrees,random_split,P0,P2,r2_leaky_minus_clean,5,0.24767937937422477,0.24436987524602438,0.01917782544744455,1.0
average_voltage,ExtraTrees,random_split,P0,P2,spearman_leaky_minus_clean,5,0.1483333758583989,0.15005253364340176,0.007257986637391554,1.0
average_voltage,ExtraTrees,random_split,P0,P3,mae_clean_minus_leaky,5,0.1674989138082291,0.17144215053250603,0.0098414479635716,1.0
average_voltage,ExtraTrees,random_split,P0,P3,rmse_clean_minus_leaky,5,0.21034777393237847,0.21595704810767308,0.01498621823165578,1.0
average_voltage,ExtraTrees,random_split,P0,P3,r2_leaky_minus_clean,5,0.11469854516892437,0.11828045071365234,0.010456509232450102,1.0
