target,model_name,protocol,hard_split,random_mae,hard_split_mae,mae_delta_hard_minus_random,mae_ratio_hard_over_random
energy_grav,ExtraTrees,P1,leave_family_out,139.31604217323041,181.28560738172425,41.96956520849383,1.3012543606163274
energy_grav,ExtraTrees,P1,leave_chemical_system_out,139.31604217323041,161.12925816729305,21.81321599406263,1.1565736124411237
energy_grav,ExtraTrees,P1,leave_working_ion_out,139.31604217323041,138.67044725102994,-0.6455949222004733,0.9953659685408108
energy_grav,ExtraTrees,P2,framework_groupkfold,79.09532493479705,87.1312601392992,8.035935204502152,1.1015981059705697
energy_grav,ExtraTrees,P2,leave_family_out,79.09532493479705,139.7789565190476,60.68363158425055,1.7672214714874193
energy_grav,ExtraTrees,P2,leave_chemical_system_out,79.09532493479705,95.12270690531348,16.02738197051643,1.20263374584691
energy_grav,ExtraTrees,P2,leave_working_ion_out,79.09532493479705,125.76627370483531,46.670948770038265,1.5900595112101996
energy_grav,ExtraTrees,P3,framework_groupkfold,73.71476335434998,84.47348138869226,10.75871803434228,1.1459506555372723
energy_grav,ExtraTrees,P3,leave_family_out,73.71476335434998,132.8602015464832,59.14543819213323,1.8023553966770347
energy_grav,ExtraTrees,P3,leave_chemical_system_out,73.71476335434998,92.85545290087185,19.14068954652187,1.2596588346151472
energy_grav,ExtraTrees,P3,leave_working_ion_out,73.71476335434998,120.37821776876604,46.66345441441605,1.6330272565632864
energy_grav,ExtraTrees,P4,framework_groupkfold,1.3663203740811842,1.7149172438613973,0.3485968697802131,1.255135527796426
energy_grav,ExtraTrees,P4,leave_family_out,1.3663203740811842,5.399255927048363,4.032935552967178,3.9516763633706518
energy_grav,ExtraTrees,P4,leave_chemical_system_out,1.3663203740811842,2.290362078659302,0.924041704578118,1.6762994405316634
energy_grav,ExtraTrees,P4,leave_working_ion_out,1.3663203740811842,3.765461062257931,2.3991406881767467,2.7559137181059077
max_delta_volume,Ridge,P0,framework_groupkfold,0.025556096853508858,0.02490959291696878,-0.0006465039365400778,0.9747025557053595
max_delta_volume,Ridge,P0,leave_family_out,0.025556096853508858,0.07782624194211292,0.05227014508860406,3.045310181293485
max_delta_volume,Ridge,P0,leave_chemical_system_out,0.025556096853508858,0.022037425572549153,-0.0035186712809597044,0.862315779239325
max_delta_volume,Ridge,P0,leave_working_ion_out,0.025556096853508858,0.13954351630806103,0.11398741945455217,5.460282808753782
max_delta_volume,Ridge,P1,framework_groupkfold,0.042631579162374277,0.043497192692777235,0.0008656135304029589,1.0203045148082839
max_delta_volume,Ridge,P1,leave_family_out,0.042631579162374277,0.14562402492386367,0.10299244576148939,3.4158721723446814
max_delta_volume,Ridge,P1,leave_chemical_system_out,0.042631579162374277,0.040926128062993554,-0.0017054510993807226,0.9599955916977638
max_delta_volume,Ridge,P1,leave_working_ion_out,0.042631579162374277,0.0771633351515013,0.03453175598912702,1.8100041487462424
max_delta_volume,Ridge,P2,framework_groupkfold,0.04209709335248318,0.04283792977732794,0.0007408364248447652,1.0175982797349372
max_delta_volume,Ridge,P2,leave_family_out,0.04209709335248318,0.14404249164876554,0.10194539829628235,3.4216730937379296
max_delta_volume,Ridge,P2,leave_chemical_system_out,0.04209709335248318,0.03960811331666995,-0.002488980035813229,0.9408752520043902
max_delta_volume,Ridge,P2,leave_working_ion_out,0.04209709335248318,0.07573585935267063,0.033638766000187455,1.7990757394703407
max_delta_volume,Ridge,P3,framework_groupkfold,0.04050111178412858,0.04095872633382778,0.0004576145496991979,1.0112988145149766
max_delta_volume,Ridge,P3,leave_family_out,0.04050111178412858,0.13494071037467645,0.09443959859054787,3.331777929798868
max_delta_volume,Ridge,P3,leave_chemical_system_out,0.04050111178412858,0.038633385812971016,-0.0018677259711575647,0.9538845752898694
max_delta_volume,Ridge,P3,leave_working_ion_out,0.04050111178412858,0.06951838951606364,0.029017277731935055,1.7164563256089733
