protocol,split_name,fold_id,heldout_group,any_negative_prediction_rate__softconstrained_direct,any_negative_prediction_rate__unconstrained_direct,energy_consistency_mae__softconstrained_direct,energy_consistency_mae__unconstrained_direct,stability_consistency_mae__softconstrained_direct,stability_consistency_mae__unconstrained_direct,energy_consistency_reduction,stability_consistency_reduction,negative_rate_reduction
P1,leave_chemical_system_out,53,Fe-O-Ti,0.7272727272727273,0.3636363636363636,16.161354064941406,25.62225341796875,0.0182819124311208,0.0108702043071389,9.460899353027344,-0.007411708123981899,-0.3636363636363637
P1,leave_chemical_system_out,54,O-W,0.0,0.0,12.151153564453123,43.01262283325195,0.0037520637270063,0.0197839587926864,30.861469268798828,0.0160318950656801,0.0
P1,leave_chemical_system_out,55,Nb-O-P,0.7272727272727273,0.0,27.08415031433105,37.05299377441406,0.007014587521553,0.0084281088784337,9.968843460083011,0.0014135213568806995,-0.7272727272727273
P1,leave_chemical_system_out,56,F-Fe,0.0,0.7,36.96168899536133,38.520057678222656,0.0173832066357135,0.0146788042038679,1.5583686828613281,-0.002704402431845601,0.7
P1,leave_chemical_system_out,57,Mg-Mn-O,0.2,0.4,68.51637268066406,52.972877502441406,0.0083295414224267,0.0243449825793504,-15.543495178222656,0.016015441156923698,0.2
P1,leave_chemical_system_out,58,B-Fe-O,0.0,1.0,52.24821472167969,17.4725341796875,0.0266414284706115,0.0170364920049905,-34.77568054199219,-0.009604936465620998,1.0
P1,leave_chemical_system_out,59,Mn-Ni-O-P,0.0,0.0,17.54343605041504,32.44124221801758,0.004502473399043,0.0062675843946635,14.897806167602539,0.0017651109956205004,0.0
P1,leave_chemical_system_out,60,C-Co-O,0.0,0.0,27.72051239013672,119.80713653564452,0.0164202451705932,0.0123839043080806,92.0866241455078,-0.004036340862512599,0.0
P1,leave_chemical_system_out,61,C-Cu-O,0.0,0.0,84.2612075805664,75.84821319580078,0.0177957154810428,0.0277854055166244,-8.412994384765625,0.0099896900355816,0.0
P1,leave_chemical_system_out,62,Cr-Ni-O,0.125,0.375,15.247030258178713,28.56848526000977,0.009728911332786,0.0095477746799588,13.321455001831056,-0.00018113665282720043,0.25
P1,leave_chemical_system_out,63,Mo-O,0.0,0.125,6.968345642089844,51.849388122558594,0.009035438299179,0.0111507810652256,44.88104248046875,0.0021153427660465986,0.125
P1,leave_chemical_system_out,64,Co-Mn-O-P,0.0,0.0,8.837471008300781,19.75464630126953,0.0085737993940711,0.0092395693063735,10.91717529296875,0.0006657699123024004,0.0
