target,protocol,model_name,split_name,random_rmse_mean,split_rmse_mean,rmse_delta_vs_random,rmse_ratio_vs_random,random_mae_mean,split_mae_mean,mae_delta_vs_random,random_r2_mean,split_r2_mean,r2_delta_vs_random,n_folds_split
average_voltage,P2,DummyMean,leave_chemical_system_out,1.0937852257806249,0.8935786767389893,-0.2002065490416356,0.8169599073723546,0.860239931890559,0.7628346977185362,-0.09740523417202285,-0.0026387503296747216,-2.7500647112963374,-2.747425960966663,75
average_voltage,P2,DummyMean,leave_family_out,1.0937852257806249,1.3731283150874478,0.27934308930682294,1.2553911707003158,0.860239931890559,1.1739831786311046,0.31374324674054554,-0.0026387503296747216,-2.183877931244174,-2.1812391809144995,10
average_voltage,P2,DummyMean,leave_working_ion_out,1.0937852257806249,1.2259619234832415,0.13217669770261664,1.1208433745375226,0.860239931890559,1.0022884933121337,0.14204856142157463,-0.0026387503296747216,-0.0596458236724303,-0.05700707334275558,3
average_voltage,P2,DummyMean,random_split,1.0937852257806249,1.0937852257806249,0.0,1.0,0.860239931890559,0.860239931890559,0.0,-0.0026387503296747216,-0.0026387503296747216,0.0,5
average_voltage,P2,ExtraTrees,framework_groupkfold,0.5862063072402938,0.6283628985608827,0.04215659132058891,1.071914257489059,0.4060800250191684,0.45474172514564,0.048661700126471585,0.7117414512208982,0.6804294009733939,-0.031312050247504275,5
average_voltage,P2,ExtraTrees,leave_chemical_system_out,0.5862063072402938,0.627907262628337,0.04170095538804319,1.0711369954109848,0.4060800250191684,0.5110823481303557,0.10500232311118729,0.7117414512208982,-0.3801382898082639,-1.091879741029162,75
average_voltage,P2,ExtraTrees,leave_family_out,0.5862063072402938,1.00161380952511,0.41540750228481615,1.7086370398169992,0.4060800250191684,0.820400415409323,0.41432039039015456,0.7117414512208982,-0.13685127080307327,-0.8485927220239714,10
average_voltage,P2,ExtraTrees,leave_working_ion_out,0.5862063072402938,0.7357326028985534,0.1495262956582596,1.2550745254894822,0.4060800250191684,0.5480889881495749,0.14200896313040645,0.7117414512208982,0.6075706470093682,-0.10417080421152991,3
average_voltage,P2,ExtraTrees,random_split,0.5862063072402938,0.5862063072402938,0.0,1.0,0.4060800250191684,0.4060800250191684,0.0,0.7117414512208982,0.7117414512208982,0.0,5
average_voltage,P2,Ridge,framework_groupkfold,0.7888031991746829,0.8147300473117373,0.02592684813705437,1.0328685889765423,0.5965704801765871,0.6229950223018805,0.026424542125293438,0.4781809326309034,0.4644722219351937,-0.01370871069570967,5
average_voltage,P2,Ridge,leave_chemical_system_out,0.7888031991746829,0.7012283412210738,-0.08757485795360909,0.8889775573359263,0.5965704801765871,0.5753348185992597,-0.02123566157732737,0.4781809326309034,-0.689313936530123,-1.1674948691610263,75
average_voltage,P2,Ridge,leave_family_out,0.7888031991746829,1.6137033158686531,0.8249001166939702,2.0457616266732375,0.5965704801765871,1.3108506046003265,0.7142801244237394,0.4781809326309034,-4.853528277028196,-5.331709209659099,10
average_voltage,P2,Ridge,leave_working_ion_out,0.7888031991746829,1.1474615497072613,0.35865835053257844,1.4546867341661889,0.5965704801765871,0.8914280958439774,0.2948576156673903,0.4781809326309034,0.07137439984369837,-0.406806532787205,3
average_voltage,P2,Ridge,random_split,0.7888031991746829,0.7888031991746829,0.0,1.0,0.5965704801765871,0.5965704801765871,0.0,0.4781809326309034,0.4781809326309034,0.0,5
average_voltage,P3,DummyMean,framework_groupkfold,1.0937852257806249,1.1198603299523873,0.026075104171762398,1.0238393274631707,0.860239931890559,0.8831516489783056,0.02291171708774653,-0.0026387503296747216,-0.005914158557477985,-0.0032754082278032633,5
average_voltage,P3,DummyMean,leave_chemical_system_out,1.0937852257806249,0.8935786767389893,-0.2002065490416356,0.8169599073723546,0.860239931890559,0.7628346977185362,-0.09740523417202285,-0.0026387503296747216,-2.7500647112963374,-2.747425960966663,75
average_voltage,P3,DummyMean,leave_family_out,1.0937852257806249,1.3731283150874478,0.27934308930682294,1.2553911707003158,0.860239931890559,1.1739831786311046,0.31374324674054554,-0.0026387503296747216,-2.183877931244174,-2.1812391809144995,10
average_voltage,P3,DummyMean,leave_working_ion_out,1.0937852257806249,1.2259619234832415,0.13217669770261664,1.1208433745375226,0.860239931890559,1.0022884933121337,0.14204856142157463,-0.0026387503296747216,-0.0596458236724303,-0.05700707334275558,3
average_voltage,P3,DummyMean,random_split,1.0937852257806249,1.0937852257806249,0.0,1.0,0.860239931890559,0.860239931890559,0.0,-0.0026387503296747216,-0.0026387503296747216,0.0,5
