protocol,split_name,fold_id,heldout_group,model_variant,n_test,energy_consistency_mae,energy_consistency_rmse,stability_consistency_mae,stability_consistency_rmse,any_negative_prediction_rate,mean_negative_outputs_per_record
P1,leave_chemical_system_out,0,F-O-V,softconstrained_direct,153,55.25716781616211,60.237770080566406,0.0110626779496669,0.0123779224231839,0.0915032679738562,0.0915032679738562
P1,leave_chemical_system_out,0,F-O-V,softconstrained_hardderived,153,0.0,0.0,0.0,0.0,0.0915032679738562,0.0915032679738562
P1,leave_chemical_system_out,1,Mn-O-P,unconstrained_direct,118,38.51244354248047,42.07529830932617,0.0196223203092813,0.0209562201052904,0.0,0.0
P1,leave_chemical_system_out,1,Mn-O-P,unconstrained_hardderived,118,0.0,0.0,0.0,0.0,0.0,0.0
P1,leave_chemical_system_out,1,Mn-O-P,softconstrained_direct,118,23.98897933959961,27.60576057434082,0.0057972548529505,0.0064909281209111,0.2457627118644068,0.2457627118644068
P1,leave_chemical_system_out,1,Mn-O-P,softconstrained_hardderived,118,0.0,0.0,0.0,0.0,0.2457627118644068,0.2457627118644068
P1,leave_chemical_system_out,2,Fe-O-P,unconstrained_direct,102,122.73429870605467,133.16537475585938,0.0145331621170043,0.0173700526356697,0.5098039215686274,0.5392156862745098
P1,leave_chemical_system_out,2,Fe-O-P,unconstrained_hardderived,102,0.0,0.0,0.0,0.0,0.5098039215686274,0.5196078431372549
P1,leave_chemical_system_out,2,Fe-O-P,softconstrained_direct,102,23.586952209472656,26.462146759033203,0.0038508670404553,0.0047055259346961,0.0098039215686274,0.0098039215686274
P1,leave_chemical_system_out,2,Fe-O-P,softconstrained_hardderived,102,0.0,0.0,0.0,0.0,0.0098039215686274,0.0098039215686274
P1,leave_chemical_system_out,3,Cr-O-P,unconstrained_direct,84,38.85688018798828,47.07595443725586,0.0067962519824504,0.0079513285309076,0.6428571428571429,1.4166666666666667
P1,leave_chemical_system_out,3,Cr-O-P,unconstrained_hardderived,84,0.0,0.0,0.0,0.0,0.6428571428571429,1.4285714285714286
P1,leave_chemical_system_out,3,Cr-O-P,softconstrained_direct,84,13.963476181030272,15.462553024291992,0.0072643421590328,0.0091797225177288,0.0,0.0
P1,leave_chemical_system_out,3,Cr-O-P,softconstrained_hardderived,84,0.0,0.0,0.0,0.0,0.0,0.0
P1,leave_chemical_system_out,4,O-P-V,unconstrained_direct,82,62.9130859375,80.12397003173828,0.020182142034173,0.0224503297358751,0.024390243902439,0.024390243902439
P1,leave_chemical_system_out,4,O-P-V,unconstrained_hardderived,82,0.0,0.0,0.0,0.0,0.024390243902439,0.024390243902439
P1,leave_chemical_system_out,4,O-P-V,softconstrained_direct,82,29.535310745239254,37.56834411621094,0.0106477802619338,0.0120568638667464,0.3536585365853658,0.3658536585365853
P1,leave_chemical_system_out,4,O-P-V,softconstrained_hardderived,82,0.0,0.0,0.0,0.0,0.3536585365853658,0.3536585365853658
P1,leave_chemical_system_out,5,Co-O-P,unconstrained_direct,76,40.402076721191406,49.58560180664063,0.0334648750722408,0.0377633087337017,0.0,0.0
P1,leave_chemical_system_out,5,Co-O-P,unconstrained_hardderived,76,0.0,0.0,0.0,0.0,0.0,0.0
P1,leave_chemical_system_out,5,Co-O-P,softconstrained_direct,76,29.883581161499023,38.56096649169922,0.009157164953649,0.0101027274504303,0.0,0.0
P1,leave_chemical_system_out,5,Co-O-P,softconstrained_hardderived,76,0.0,0.0,0.0,0.0,0.0,0.0
P1,leave_chemical_system_out,6,Ni-O-P,unconstrained_direct,74,32.6441764831543,39.42178726196289,0.0184741169214248,0.0203726720064878,0.1216216216216216,0.1216216216216216
P1,leave_chemical_system_out,6,Ni-O-P,unconstrained_hardderived,74,0.0,0.0,0.0,0.0,0.1216216216216216,0.1216216216216216
P1,leave_chemical_system_out,6,Ni-O-P,softconstrained_direct,74,12.492105484008787,16.118915557861328,0.0049469382502138,0.0061970632523298,0.0,0.0
P1,leave_chemical_system_out,6,Ni-O-P,softconstrained_hardderived,74,0.0,0.0,0.0,0.0,0.0,0.0
P1,leave_chemical_system_out,7,F-V,unconstrained_direct,66,52.87028884887695,59.3335189819336,0.0195081382989883,0.0213521886616945,1.0,1.7424242424242424
P1,leave_chemical_system_out,7,F-V,unconstrained_hardderived,66,0.0,0.0,0.0,0.0,1.0,1.0909090909090908
P1,leave_chemical_system_out,7,F-V,softconstrained_direct,66,24.181133270263672,26.38248443603516,0.0059218117967247,0.0071344776079058,0.0,0.0
P1,leave_chemical_system_out,7,F-V,softconstrained_hardderived,66,0.0,0.0,0.0,0.0,0.0,0.0
P1,leave_chemical_system_out,8,Mo-O-P,unconstrained_direct,61,27.936992645263672,43.18124771118164,0.0149091174826025,0.0187209639698267,0.2459016393442623,0.2459016393442623
